"Cargo type"," (Weight)"
"16055390",
"160554","9837"
"16055400",
"160555",
"17011210",
"170114","48192"
"170191",
"170199",
"1702",
"170230",
"17023090","66306"
"170250",
"170260",
"17026095","780"
"170290",
"17029010",
"1703","2516060"
"170310","556480"
"17031000",
"17032",
"170390","327160"
"1703900000",
"1704","450303.88"
"170410","9639.54"
"17041010",
"170490","479943.69"
"17049010",
"1704903520",
"17049065",
"17049071","10949.6"
"17049074",
"17049075",
"17049090",
"17049099","11582"
"171206",
"17203",
"172496",
"17302",
"1801","559000"
"180100",
"1803","270612"
"1804","249366"
"180400","921680"
"1805","23389.5"
"180500",
"180590","0"
"1806","52677.75"
"180610",
"18061015",
"18061020",
"180620",
"180631","52816.338"
"18063100",
"180632","14330"
"18063210",
"180690","246733.33"
"18069011",
"18069019",
"18069031",
"18069050",
"18069070","19999.94"
"18069090",
"1901","847921"
"190110","140048.5"
"190120",
"19012000",
"190190","119156"
"19019019",
"19019099",
"1901909900",
"1902","167221.7"
"190211","147572.687"
"19021100",
"19021120",
"19021140",
"190219","839298.033"
"19021910","196213.742"
"19021990","3846665.25"
"190220",
"19022099",
"190230","154449.06"
"190300",
"1904","52987.896"
"190410",
"19041090",
"190420","114843.4"
"19042010",
"190430","66514"
"190490",
"19049080",
"1905","91064.88"
"190510",
"19051000",
"190520","25094.512"
"19052030",
"190531","86453.13"
"19053119",
"19053199",
"190532","27947.56"
"19053205",
"19053211",
"19053219",
"1905321900",
"19053299",
"190540","86657"
"19054010","67980"
"19054090",
"190590","206740.51"
"19059010",
"19059030","6363"
"19059045",
"19059055",
"19059080",
"190631",
"1915",
"1916",
"1921",
"1931",
"19402",
"1944",
"1949",
"2001","62522"
"200110","786438.64"
"20011000",
"200190","133135"
"20019097","3397"
"2002","200341.7"
"200210","240875.9"
"200290","977671"
"20029039",
"20029040",
"20029091",
"2003","44643"
"200300",
"200310",
"200390",
"200490",
"2005","841157.89"
"200510",
"20051000",
"200520",
"20052020","6242"
"200551","734338.429"
"200559","99150"
"20055900",
"200570","637721.44"
"20057050",
"200580",
"200590",
"200591",
"200599","139016.02"
"20059910",
"2006","117041.8"
"200600","42526.4"
"20060099",
"2007","146205.3"
"200710",
"20071099",
"200799","279500.5"
"20079950","19436"
"20079997",
"2008","409498.81"
"200800",
"200810",
"200811",
"200819","24384"
"20081912",
"20081919","6324"
"200820","43474"
"200830",
"20083060",
"20086060",
"200870","240728"
"20087071",
"200880",
"20089311",
"200897","7320"
"200899","25862"
"20089949","20960"
"20089999","62260"
"2009","670742.6"
"200900",
"200911",
"20091111",
"200912","107090"
"20091245",
"200919","153137.12"
"200921",
"200929","25208"
"200931",
"20093140",
"200939",
"200941",
"200949","107686.8"
"200950","143059.15"
"200969","71040"
"20096919",
"20096951",
"200971",
"200979",
"200980","20640"
"200989","50991.955"
"200990","204952"
"20110","61119"
"2021",
"2028",
"20714","26000"
"2101","307122.28"
"210110",
"210111","142812.796"
"21011100",
"210112","26544"
