id,Stop_name,Stop_code,Common_code,Latitude,Longitude,Road_side,Road_number,Street,County,Parish,Village
"2611","Stendes","13697","2387","57.5910333","25.2658446","Kreisā","V216","","Kocēnu novads","Bērzaines pagasts",""
"2612","Stendes","13698","2387","57.5910406","25.2660048","Labā","V216","","Kocēnu novads","Bērzaines pagasts",""
"2613","Stienes pasts","14864","4520","57.4348463","24.5723991","Kreisā","P53","","Limbažu novads","Skultes pagasts",""
"2614","Stienes pasts","14865","4520","57.4351520","24.5728065","Labā","P53","","Limbažu novads","Skultes pagasts",""
"2615","Stikāni","13648","2246","56.3642740","26.2525425","Kreisā","V753","","Līvānu novads","Rožupes pagasts",""
"2616","Stikāni","13649","2246","56.3643774","26.2523543","Labā","V753","","Līvānu novads","Rožupes pagasts",""
"2617","Stīpnieki","15860","6672","56.9149769","24.0090317","Kreisā","V15","Stīpnieku ceļš","Mārupes novads","","Mārupe"
"2618","Stīpnieki","15861","6672","56.9163775","24.0116185","Labā","V15","Stīpnieku ceļš","Mārupes novads","","Mārupe"
"2619","Stirēni","13166","980","56.5459160","25.9966614","Labā","V781","","Krustpils novads","Kūku pagasts",""
"2620","Stirēni","13167","980","56.5461318","25.9972741","Kreisā","V781","","Krustpils novads","Kūku pagasts",""
"2621","Stopaniški","13063","792","56.1007765","27.8604178","Labā","V618","","Dagdas novads","Bērziņu pagasts",""
"2622","Stopiņi","14462","3761","56.8998724","24.3647645","Labā","V33","","Salaspils novads","Salaspils pagasts",""
"2623","Stopiņi","14463","3761","56.9005671","24.3652355","Kreisā","V33","","Salaspils novads","Salaspils pagasts",""
"2624","Stradi","14618","3948","56.3038899","25.8726068","Labā","V790","","Jēkabpils novads","Leimaņu pagasts",""
"2625","Stradi","14619","3948","56.3042163","25.8731475","Kreisā","V790","","Jēkabpils novads","Leimaņu pagasts",""
"2626","Strauja","13215","1120","56.7380488","27.8233996","Kreisā","V505","","Kārsavas novads","Goliševas pagasts",""
"2627","Strauja","13216","1120","56.7381310","27.8224008","Labā","V505","","Kārsavas novads","Goliševas pagasts",""
"2628","Straumēni","13068","799","56.8295900","25.3671922","Kreisā","V964","","Ogres novads","Meņģeles pagasts",""
"2629","Straumēni","13069","799","56.8298703","25.3669647","Labā","V964","","Ogres novads","Meņģeles pagasts",""
"2630","Strauti","14713","4039","57.6518232","24.6619849","Kreisā","P12","","Limbažu novads","Viļķenes pagasts",""
"2631","Strauti","14714","4039","57.6523253","24.6625400","Labā","P12","","Limbažu novads","Viļķenes pagasts",""
"2632","Strautiņi","14445","3740","56.5072646","21.1019944","Labā","V1222","","Grobiņas novads","Grobiņas pagasts",""
"2633","Strautiņi","15862","6676","56.6235555","23.9820125","Kreisā","P93","","Ozolnieku novads","",""
"2634","Strautiņi","15863","6678","56.6237006","23.9838145","Labā","P93","","Ozolnieku novads","",""
"2635","Strautu ceļš","15864","6679","56.6709445","23.7296628","Kreisā","P99","Kalnciema ceļš 81","Jelgava","",""
"2636","Strautu ceļš","15865","6679","56.6703622","23.7302861","Labā","P99","Kalnciema ceļš 82","Jelgava","",""
"2637","Oļas","15249","5438","56.7050476","21.2861157","Labā","V1192","","Durbes novads","Dunalkas pagasts",""
"2638","Oļas","15250","5438","56.7051266","21.2868589","Kreisā","V1192","","Durbes novads","Dunalkas pagasts",""
"2639","Strazdiņu iela","15866","6680","56.9280898","24.2549744","Labā","","Garā iela","Ropažu novads","","Dreiliņi"
"2640","Strazdiņu iela","15867","6680","56.9287882","24.2538937","Kreisā","","Garā iela","Ropažu novads","","Dreiliņi"
"2641","Strazdu iela","15868","6685","56.6634374","23.7514576","Kreisā","P100","Rīgas iela 21","Jelgava","",""
"2642","Strazdu iela","15869","6685","56.6645502","23.7537762","Labā","P100","Rīgas iela 26A","Jelgava","",""
"2643","Strēbeles","13561","2029","57.4638879","25.8919768","Kreisā","P25","","Smiltenes novads","Smiltenes pagasts",""
"2644","Strēbeles","13562","2029","57.4642859","25.8921682","Labā","P25","","Smiltenes novads","Smiltenes pagasts",""
"2645","Streiķi","14207","3356","57.8526070","25.0538605","Labā","P16","","Mazsalacas novads","Skaņkalnes pagasts",""
"2646","Streiķi","14208","3356","57.8540084","25.0529424","Kreisā","P16","","Mazsalacas novads","Skaņkalnes pagasts",""
"2647","Strēlnieki","15870","6686","57.1169190","24.3132428","Labā","V45","","Ādažu novads","","Carnikava"
"2648","Strēlnieki","15871","6686","57.1172276","24.3148718","Kreisā","V45","","Ādažu novads","","Carnikava"
"2649","Strēlnieku prospekts","13113","913","56.8110206","24.6288169","Labā","V967","J.Čakstes prospekts","Ogres novads","Ogres pilsēta","Ogre"
"2650","Strēlnieku prospekts","13114","913","56.8112340","24.6285342","Kreisā","V967","J.Čakstes prospekts","Ogres novads","Ogres pilsēta","Ogre"
"2651","Stroķu skola","15257","5455","56.6108457","21.5680138","Labā","V1197","","Durbes novads","Vecpils pagasts",""
"2652","Strumpe","13713","2428","56.4755286","27.7001320","Labā","V525","","Ludzas novads","Pureņu pagasts",""
"2653","Strumpe","13714","2428","56.4757152","27.6989783","Kreisā","V525","","Ludzas novads","Pureņu pagasts",""
"2654","Stukules","14435","3728","56.9951181","26.1697553","Labā","V840","","Madonas novads","Liezēres pagasts",""
"2655","Stukules","14436","3728","56.9951489","26.1696077","Kreisā","V840","","Madonas novads","Liezēres pagasts",""
"2656","Stulpiņi","15872","6688","56.5084606","25.9155651","Labā","","Zīlānu iela 129","Jēkabpils","",""
"2657","Stulpiņi","15873","6688","56.5084705","25.9157439","Kreisā","","Zīlānu iela 129","Jēkabpils","",""
"2658","Stūnīšu ezers","13115","915","56.8689120","24.0626257","Labā","V13","","Olaines novads","Olaines pagasts","Stūnīši"
"2659","Stūnīšu ezers","13116","915","56.8698311","24.0631847","Kreisā","V13","","Olaines novads","Olaines pagasts","Stūnīši"
"2660","Stūri 1","15024","4859","56.6874770","24.3164675","Kreisā","V9","","Ķekavas novads","",""
"2661","Stūri 1","15025","4859","56.6879955","24.3170716","Labā","V9","","Ķekavas novads","",""
"2662","Sturīši","15874","6689","56.7849858","25.5848661","Kreisā","","","Kokneses novads","Iršu pagasts",""
"2663","stūrīši","15875","6690","56.7848664","25.5846869","Kreisā","","","Kokneses novads","Iršu pagasts",""
"2664","Stūrīši","13197","1098","57.0685547","24.8413413","Labā","V58","","Siguldas novads","Allažu pagasts","Allaži"
"2665","Stūrīši","13198","1098","57.0692913","24.8411597","Kreisā","V58","","Siguldas novads","Allažu pagasts","Allaži"
"2666","Stūrīši","15114","4984","56.8473673","24.9988885","Labā","V970","","Ogres novads","Lauberes pagasts",""
"2667","Stūrīši","15115","4984","56.8475706","24.9988880","Kreisā","V970","","Ogres novads","Lauberes pagasts",""
"2668","Subate","13132","934","56.0141024","25.9082151","Labā","P70","","Ilūkstes novads","Subates pilsēta","Subate"
"2669","Subate","13133","934","56.0151873","25.9091606","Kreisā","P70","","Ilūkstes novads","Subates pilsēta","Subate"
"2670","Sudali","14242","3410","57.3027891","26.6568712","Kreisā","P34","","Gulbenes novads","Lejasciema pagasts",""
"2671","Sudmaļi","13311","1406","57.0421384","23.0355392","Kreisā","V1437","","Tukuma novads","Sēmes pagasts",""
"2672","Sudmaļi","13312","1406","57.0423601","23.0361217","Labā","V1437","","Tukuma novads","Sēmes pagasts",""
"2674","Sudrabi","14826","4353","57.3238208","26.9436235","Kreisā","V396","","Alūksnes novads","Annas pagasts",""
"2675","Sudrabi","14827","4353","57.3244206","26.9457592","Labā","V396","","Alūksnes novads","Annas pagasts",""
"2676","Sukaili","13146","955","56.1048470","27.3522785","Kreisā","V613","","Dagdas novads","Konstantinovas pagasts",""
"2677","Titurga","13336","1427","56.8835100","24.1468489","Kreisā","V3","","Ķekavas novads","Baložu pilsēta",""
"2678","Titurga","13337","1427","56.8835385","24.1474038","Labā","V3","","Ķekavas novads","Baložu pilsēta",""
"2679","Sūkņu stacija","15876","6693","57.0295958","24.4263352","Labā","P3","","Ropažu novads","",""
"2680","Sūkņu stacija","15877","6693","57.0300869","24.4259631","Kreisā","P3","","Ropažu novads","",""
"2681","Sūnu ciems","14115","3100","56.3519528","21.3411404","Labā","V1218","","Grobiņas novads","Bārtas pagasts","Bārta"
"2682","Sūnu ciems","14116","3100","56.3519827","21.3410072","Kreisā","V1218","","Grobiņas novads","Bārtas pagasts","Bārta"
"2683","Supes","14527","3848","57.4019169","27.1763812","Kreisā","V399","","Alūksnes novads","Jaunalūksnes pagasts",""
"2684","Supes","14528","3848","57.4020748","27.1762069","Labā","V399","","Alūksnes novads","Jaunalūksnes pagasts",""
"2685","Svarīte","13298","1375","57.2938221","27.0787018","Kreisā","V398","","Alūksnes novads","Jaunannas pagasts",""
"2686","Svarīte","13299","1375","57.2938801","27.0786266","Labā","V398","","Alūksnes novads","Jaunannas pagasts",""
"2687","Sveipeles","14559","3898","57.6962712","25.3125039","Labā","V112","","Burtnieku novads","Burtnieku pagasts",""
"2688","Sveipeles","14560","3898","57.6964819","25.3125465","Kreisā","V112","","Burtnieku novads","Burtnieku pagasts",""
"2691","Mārupītes gatve","15878","6694","56.9016293","24.0494413","Kreisā","P132","","Mārupes novads","","Mārupe"
"2692","Mārupītes gatve","15879","6694","56.9004681","24.0462325","Labā","P132","","Mārupes novads","","Mārupe"
"2693","Sviestiņi","13154","968","57.1235735","25.4001683","Labā","P31","","Amatas novads","Amatas pagasts",""
"2694","Sviestiņi","13155","968","57.1238064","25.3990706","Kreisā","P31","","Amatas novads","Amatas pagasts",""
"2695","Šahmani","15293","1158","56.0060787","27.0030197","Kreisā","V636","","Aglonas novads","Šķeltovas pagasts",""
"2696","Šarlotes kapi","13869","2728","56.4010380","24.2517457","Kreisā","V1022","","Bauskas novads","Ceraukstes pagasts",""
"2697","Šarlotes kapi","13870","2728","56.4010571","24.2518588","Labā","V1022","","Bauskas novads","Ceraukstes pagasts",""
"2698","Šīvari","14200","3347","57.9376839","25.1993562","Labā","V170","","Rūjienas novads","Vilpulkas pagasts",""
"2699","Šīvari","14201","3347","57.9381812","25.1989024","Kreisā","V170","","Rūjienas novads","Vilpulkas pagasts",""
"2701","Šņitova","13735","2455","56.4404069","26.9844652","Labā","V598","","Rēzeknes novads","Silmalas pagasts",""
"2702","Šokolāde","15880","6696","57.1445957","24.8435790","Labā","","Pulkveža Brieža iela","Siguldas novads","Siguldas pilsēta","Sigulda"
"2703","Šokolāde","15881","6696","57.1448032","24.8438692","Kreisā","","Pulkveža Brieža iela","Siguldas novads","Siguldas pilsēta","Sigulda"
"2704","Rīgas apvedceļš","15882","6698","56.9859667","24.3215311","Kreisā","","","Ropažu novads","","Upesciems"
"2705","Štrausi","14428","3717","56.9058049","24.1462472","Labā","V1","Bauskas iela","Ķekavas novads","Ķekavas pagasts","Valdlauči"
"2706","Štrausi","14429","3717","56.9069815","24.1462715","Kreisā","V1","Bauskas iela","Ķekavas novads","Ķekavas pagasts","Valdlauči"
"2707","Talsu pagrieziens","15883","6699","56.9564012","23.6419208","Labā","","Asaru prospekts","Jūrmala","",""
"2708","Talsu pagrieziens","15884","6703","56.9570018","23.6363331","Kreisā","P128","Talsu šoseja","Jūrmala","",""
"2709","Talsu pagrieziens","15885","6703","56.9574506","23.6348053","Labā","P128","Talsu šoseja","Jūrmala","",""
"2710","Tapuni","15233","5348","55.8182924","26.7432274","Kreisā","P69","","Daugavpils novads","Skrudalienas pagasts",""
"2711","Tapuni","15234","5348","55.8184913","26.7446479","Labā","P69","","Daugavpils novads","Skrudalienas pagasts",""
"2712","Tārgales skola","9873","226","57.3325577","21.6427822","A/V","V1329","","Ventspils novads","Tārgales pagasts","Tārgale"
"2713","Taubenieki","15274","5506","56.3358459","24.0957983","Labā","V1028","","Bauskas novads","Īslīces pagasts",""
"2714","Taubenieki","15275","5506","56.3360391","24.0964929","Kreisā","V1028","","Bauskas novads","Īslīces pagasts",""
"2715","Taubes","14885","4549","57.6994447","25.3338323","Labā","V112","","Burtnieku novads","Burtnieku pagasts",""
"2716","Taubes","14886","4549","57.6996294","25.3349449","Kreisā","V112","","Burtnieku novads","Burtnieku pagasts",""
"2717","Taurkalns","14141","3213","57.1200262","25.6395309","Labā","V309","","Vecpiebalgas novads","Taurenes pagasts",""
"2718","Taurkalns","14142","3213","57.1200647","25.6395537","Kreisā","V309","","Vecpiebalgas novads","Taurenes pagasts",""
